code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
NDR,VEAY,Sân bay qu?c t? Nador,26.748034,82.150781,335,,Asia/Kolkata,AYJ,IN,Faizabad,Uttar Pradesh,,AP
OUD,UAUR,Sân bay Angads,50.3151662,66.94696205,1259,,Asia/Qyzylorda,AYK,KZ,Arkalyk,Qostanay,,AP
RBA,YANL,Sân bay Rabat–Salé,-18.0197941,135.5420203,711,,Australia/Darwin,AYL,AU,,,,AP
TNG,,Sân bay Tangier Ibn Battouta,24.467,54.6103,42,,Asia/Dubai,AUH,AE,,,,AP
TTU,ZHAY,Sân bay Sania Ramel,36.13225015,114.3410297,236,,Asia/Shanghai,AYN,CN,Anyang,Henan Sheng,,AP
KRT,SGAY,Sân bay qu?c t? Khartoum,-27.36826105,-56.85414431,206,,America/Asuncion,AYO,PY,Ayolas,Misiones,,AP
VIL,SPHO,Sân bay Dakhla,-13.197222,-74.24722,10423,,America/Lima,AYP,PE,Carmen Alto,Ayacucho,Provincia de Huamanga,AP
EUN,YAYE,Sân bay Hassan I,-25.18184745,130.9757678,1591,,Australia/Darwin,AYQ,AU,,,,AP
DJE,YAYR,Sân bay qu?c t? Djerba–Zarzis,-19.5942228,147.3270922,59,,Australia/Brisbane,AYR,AU,Ayr,Queensland,Burdekin,AP
NBE,KAYS,Sân bay qu?c t? Enfidha – Hammamet,31.24847785,-82.39377481,177,,America/New_York,AYS,US,Deenwood,Georgia,Ware County,AP
MIR,LTAI,Sân bay qu?c t? Monastir Habib Bourguiba,36.89994245,30.79819145,137,http://www.antalya.dhmi.gov.tr/havaalanlari/default.aspx?hv=4,Europe/Istanbul,AYT,TR,Aksu,Antalya,,AP
SFA,AYAY,Sân bay qu?c t? Sfax–Thyna,-6.3366412,145.9029898,5328,,Pacific/Port_Moresby,AYU,PG,,,,AP
TBJ,WASA,Sân bay qu?c t? Tabarka–Ain Draham,-1.2,132.5,1840,,Asia/Jayapura,AYW,ID,Aifat,West Papua,,AP
TOE,SPAY,Sân bay qu?c t? Tozeur–Nefta,-10.72845785,-73.76907296,767,,America/Lima,AYX,PE,Puerto Ocopa,Junin,Provincia de Satipo,AP
TUN,,Sân bay qu?c t? Tunis-Carthage,6.86,81.82388889,9,,Asia/Colombo,AYY,LK,,,,AP
GOA,,Sân bay qu?c t? Goma,40.666668,-73.416664,26,,America/New_York,AYZ,US,Amityville,New York,Suffolk County,AP
NLO,KIWA,Sân bay N'djili,33.30591455,-111.6526441,1309,http://www.flywga.org/,America/Phoenix,PHX,US,Queen Creek,Arizona,Maricopa County,AP
FKI,,Sân bay qu?c t? Bangoka,-10.15,148.81667,42,,Pacific/Port_Moresby,AZB,PG,,,,AP
FBM,OIYY,Sân bay qu?c t? Lubumbashi,31.903603,54.283264,4055,,Asia/Tehran,AZD,IR,Yazd,Yazd,,AP
BZV,MMAG,Sân bay Maya-Maya,19.068056,-102.352776,1003,,America/Mexico_City,AZG,MX,Apatzingan,Michoacan,Apatzingan,AP
PNR,VEAH,Sân bay Pointe Noire,26.153333,83.118333,250,,Asia/Kolkata,AZH,IN,Manduri,Uttar Pradesh,Azamgarh,AP
SSG,OMAD,Sân bay qu?c t? Malabo,24.419167,54.451668,36,,Asia/Dubai,AUH,AE,,,,AP
LBV,,Sân bay qu?c t? Leon M'ba,31.91226656,119.7839565,39,http://czjc.changzhou.gov.cn/,Asia/Shanghai,AZJ,CN,Changzhou,Jiangsu,Xinbei District,AP
TMS,SWTU,Sân bay qu?c t? São Tomé,-13.465528,-58.866935,2020,,America/Cuiaba,AZL,BR,,,,AP
BJM,UTFA,Sân bay qu?c t? Bujumbura,40.7265439,72.29303829,1558,,Asia/Tashkent,AZN,UZ,Andijon,Andijon,,AP
HAH,KAZO,Sân bay qu?c t? Prince Said Ibrahim,42.2307865,-85.55104192,803,,America/Detroit,AZO,US,Portage,Michigan,Kalamazoo County,AP
JIB,MMJC,Sân bay qu?c t? Djibouti-Ambouli,19.416668,-99.1,7322,,America/Mexico_City,MEX,MX,Iztacalco,Mexico City,Iztacalco,AP
ASM,DAUA,Sân bay qu?c t? Asmara,27.883333,-0.283333,853,,Africa/Algiers,AZR,DZ,Adrar,Adrar,,AP
ADD,MDCY,Sân bay qu?c t? Addis Ababa Bole,19.270555,-69.736946,49,,America/Santo_Domingo,AZS,DO,Sanchez,Samana,,AP
DIR,,Sân bay qu?c t? Aba Tenna Dejazmach Yilma,6.866667,-73.25,4944,,America/Bogota,AZT,CO,Betulia,Santander,,AP
EDL,FNAM,Sân bay qu?c t? Eldoret,-7.883333,13.15,88,,Africa/Luanda,AZZ,AO,Nzeto,Zaire,,AP
MBA,AYBL,Sân bay qu?c t? Moi,-5.33150125,151.0096216,59,,Pacific/Port_Moresby,BAA,PG,,,,AP
KIS,KBAB,Sân bay qu?c t? Kisumu,39.15,-121.583336,85,,America/Los_Angeles,MYV,US,Marysville,California,Yuba County,AP
NBO,,Sân bay qu?c t? Jomo Kenyatta,4.5728352,-72.9754852,790,,America/Bogota,BAC,CO,Barranca de Upia,Meta,,AP
